# Station instrument_gain(Z N E) digitaliser_gain(Z N E)
SKR01 31.9 31.9 31.9 2.04082E+07 2.04082E+07 2.04082E+07
SKR02 31.9 31.9 31.9 2.04082E+07 2.04082E+07 2.04082E+07
SKR03 31.9 31.9 31.9 2.04082E+07 2.04082E+07 2.04082E+07
SKR04 31.9 31.9 31.9 2.04082E+07 2.04082E+07 2.04082E+07
SKR05 31.9 31.9 31.9 2.04082E+07 2.04082E+07 2.04082E+07
SKR06 31.9 31.9 31.9 2.04082E+07 2.04082E+07 2.04082E+07
SKR07 31.9 31.9 31.9 2.04082E+07 2.04082E+07 2.04082E+07
SKG08 2386.00 2404.00 2400.00 987167 988142 988142
SKG09 2376.00 2392.00 2380.00 1.04167E+06 1.04603E+06 1.04384E+06
SKG10 2376.0 2554.0 2364.0 984252 982318 978474
SKG11 2392 2404 2388 1.04384E+06 1.04167E+06 1.04603E+06
SKG12 2388 2394 2384 1.04384E+06 1.03842E+06 1.05042E+06
SKG13 2370 2396 2390 1.03734E+06 1.04275E+06 1.04275E+06
